sku,main_category,sub_category,child_category,product_name,product_feature_image,product_description,current_price,previous_price,stock,size,size_quantity,size_extra_price,colors,tags,youtube,policy,meta_tag,meta_description
8.99722E+11,Beauty & Health,Personal Care,Soaps,Lexi Refreshing Care soap 85g,http://geniusocean.com/demo/1-1-instagram-1024x1024.jpg,Royal Soap Lexi Fresh Green 85g,9.5,0,36,85g,"22,23","5,8","#000000,#9c1515,#24f015,#050bc2,#d1900c","OFFER, SALE, BODY SOAP",https://www.youtube.com/watch?v=7hx4gdlfamo,This item cannot be exchanged or returned,,
5.012E+12,Beauty & Health,Personal Care,Soaps,Yardley London Soap Buy 2 Get 1 Free,,"Luxury Soap
Value Deal
Excellent gift",13.75,,36,,,,,,,This item cannot be exchanged or returned,,
6.51475E+12,Beauty & Health,Personal Care,Soaps,Dettol Cool Antibacterial Soap 120g,,Dettol 120g Active bar soap combines Dettol’s trusted germ protection with sea minerals refreshing fragrance to give you assured odour protection with every wash and leaves your skin feeling healthy & fresh,17.5,,36,,,,,,,This item cannot be exchanged or returned,,
6.29512E+12,Beauty & Health,Personal Care,Soaps,Dettol skincare Anti Bacterial Soap 120,,Dettol 120g SkinCare bar soap combines Dettol’s trusted germ protection with sea minerals refreshing fragrance to give you assured odour protection with every wash and leaves your skin feeling healthy & fresh,17.5,,36,,,,,,,This item cannot be exchanged or returned,,
8.71091E+12,Beauty & Health,Personal Care,Soaps,Dove Pink Beauty Cream Bar 100g x 4 pcs,,"Classic moisturizing formula with a delicate pink hue, ¼ moisturizing cream and mild cleansers help retain skin’s moisture, Leaves skin softer, smoother and more radiant, Suitable for daily use on face, body and hands, No other bar hydrates skin better than Dove, No other bar hydrates skin better than Dove",18.75,,36,,,,,,,This item cannot be exchanged or returned,,
8.71091E+12,Beauty & Health,Personal Care,Soaps,Dove Purely Pampering Coconut Milk 100g x pcs,,"Classic moisturising formula, Dove doesn’t dry skin like soap can, ¼ moisturising cream and mild cleanser, Leaves skin softer, smoother and healthier-looking, Suitable for daily use on face, body and hands, Suitable for daily use on face, body and hands",18.75,,36,,,,,,,This item cannot be exchanged or returned,,
8.0007E+12,Beauty & Health,Personal Care,Soaps,Dove Beauty Cream bar 4 x 100g,,"It's important to take a little time out of your schedule just for you. Did you know that, with the right body care products, you can create a little 'me time' for yourself every day and get nourished, beautiful skin in the process? So if you're wondering how to get smooth skin and relax a little each day at the same time, we recommend trying out Dove Purely Pampering Coconut and Jasmine Beauty Bar.",18.75,,36,,,,,,,This item cannot be exchanged or returned,,
6.281E+12,Beauty & Health,Personal Care,Soaps,Palmolive Naturals Nourishing Sensation 6 x 170g,,Palmolive Naturals Bar Soap Soft And Moisture With Milk Rose 170Gm,15.85,,36,,,,,,,This item cannot be exchanged or returned,,
6.281E+12,Beauty & Health,Personal Care,Soaps,Palmolive Naturals Herbal Extracts 6 x 170g,,Palmolive Naturals Bar Soap With Herbal Extracts 170Gm,15.85,,36,,,,,,,This item cannot be exchanged or returned,,
6.281E+12,Beauty & Health,Personal Care,Soaps,Palmolive Naturals Health Radiance 6 x 170g,,Palmolive Health Radiance Toilet Soap 170g,15.85,,36,,,,,,,This item cannot be exchanged or returned,,
